section,group,contrast,metric,mean_pp,t95_half,lo,hi,n_folds_neg,n_folds_pos,rel_of_means_pct,rel_fold_paired_pct
crossds,wi,beam-greedy,cer,-0.1556,0.2294,-0.3849,0.0738,5,0,-2.24,-2.49
crossds,wi,beam-greedy,wer,-0.1336,0.1187,-0.2523,-0.0149,5,0,-1.27,-1.61
crossds,wi,fusion-beam,cer,0.0065,0.0317,-0.0253,0.0382,1,4,0.10,-0.03
crossds,wi,fusion-beam,wer,-0.0185,0.0628,-0.0813,0.0442,3,2,-0.18,-0.30
crossds,wi,rescore-beam,cer,-0.0032,0.0187,-0.0219,0.0155,2,2,-0.05,-0.09
crossds,wi,rescore-beam,wer,-0.0382,0.0794,-0.1175,0.0412,3,0,-0.37,-0.32
crossds,wi,rescore-greedy,cer,-0.1588,0.2367,-0.3955,0.0779,5,0,-2.29,-2.57
crossds,wi,rescore-greedy,wer,-0.1718,0.1268,-0.2985,-0.0450,5,0,-1.63,-1.92
crossds,wd,beam-greedy,cer,-0.1358,0.3716,-0.5073,0.2358,3,2,-0.83,-0.43
crossds,wd,beam-greedy,wer,-0.1508,0.1873,-0.3381,0.0365,4,1,-0.47,-0.44
crossds,wd,fusion-beam,cer,0.4412,0.1476,0.2935,0.5888,0,5,2.73,2.89
crossds,wd,fusion-beam,wer,0.7145,0.2541,0.4603,0.9686,0,5,2.25,2.32
crossds,wd,rescore-beam,cer,1.8746,0.8756,0.9990,2.7502,0,5,11.58,13.37
crossds,wd,rescore-beam,wer,2.3141,0.9279,1.3862,3.2420,0,5,7.28,7.93
crossds,wd,rescore-greedy,cer,1.7389,1.1283,0.6106,2.8672,0,5,10.65,12.98
crossds,wd,rescore-greedy,wer,2.1633,0.9977,1.1656,3.1610,0,5,6.78,7.47
crossds,privword,beam-greedy,cer,-0.9715,0.2885,-1.2599,-0.6830,5,0,-9.75,-9.81
crossds,privword,beam-greedy,wer,-1.6146,0.3086,-1.9233,-1.3060,5,0,-8.46,-8.46
crossds,privword,fusion-beam,cer,-0.0320,0.0219,-0.0539,-0.0101,5,0,-0.36,-0.36
crossds,privword,fusion-beam,wer,-0.3161,0.1429,-0.4591,-0.1732,5,0,-1.81,-1.81
crossds,privword,rescore-beam,cer,0.0488,0.1798,-0.1310,0.2286,2,3,0.54,0.51
crossds,privword,rescore-beam,wer,-0.7849,0.3461,-1.1310,-0.4389,5,0,-4.49,-4.50
crossds,privword,rescore-greedy,cer,-0.9226,0.4303,-1.3529,-0.4923,5,0,-9.26,-9.33
crossds,privword,rescore-greedy,wer,-2.3996,0.6481,-3.0477,-1.7514,5,0,-12.57,-12.57
crossds,privsent,beam-greedy,cer,-1.8762,0.5146,-2.3908,-1.3615,5,0,-20.11,-20.10
crossds,privsent,beam-greedy,wer,-3.2838,0.6593,-3.9431,-2.6245,5,0,-21.84,-21.91
crossds,privsent,fusion-beam,cer,0.0135,0.0515,-0.0380,0.0650,2,3,0.18,0.14
crossds,privsent,fusion-beam,wer,-0.1020,0.1590,-0.2609,0.0570,4,1,-0.87,-0.90
crossds,privsent,rescore-beam,cer,0.6902,0.3694,0.3207,1.0596,0,5,9.26,9.50
crossds,privsent,rescore-beam,wer,0.4201,0.5084,-0.0883,0.9286,1,4,3.57,3.76
crossds,privsent,rescore-greedy,cer,-1.1860,0.4984,-1.6844,-0.6876,5,0,-12.71,-12.58
crossds,privsent,rescore-greedy,wer,-2.8637,0.5516,-3.4153,-2.3121,5,0,-19.04,-19.06
wi_models,plain,beam-greedy,cer,-0.1556,0.2294,-0.3849,0.0738,5,0,-2.24,-2.49
wi_models,plain,beam-greedy,wer,-0.1336,0.1187,-0.2523,-0.0149,5,0,-1.27,-1.61
wi_models,plain,fusion-beam,cer,0.0065,0.0317,-0.0253,0.0382,1,4,0.10,-0.03
wi_models,plain,fusion-beam,wer,-0.0185,0.0628,-0.0813,0.0442,3,2,-0.18,-0.30
wi_models,plain,rescore-beam,cer,-0.0032,0.0187,-0.0219,0.0155,2,2,-0.05,-0.09
wi_models,plain,rescore-beam,wer,-0.0382,0.0794,-0.1175,0.0412,3,0,-0.37,-0.32
wi_models,plain,rescore-greedy,cer,-0.1588,0.2367,-0.3955,0.0779,5,0,-2.29,-2.57
wi_models,plain,rescore-greedy,wer,-0.1718,0.1268,-0.2985,-0.0450,5,0,-1.63,-1.92
wi_models,noise,beam-greedy,cer,-0.0525,0.1590,-0.2115,0.1065,3,2,-0.77,-0.12
wi_models,noise,beam-greedy,wer,-0.0829,0.4031,-0.4860,0.3201,3,2,-0.63,0.36
wi_models,noise,fusion-beam,cer,-0.0480,0.0444,-0.0924,-0.0036,5,0,-0.70,-1.57
wi_models,noise,fusion-beam,wer,-0.3192,0.1234,-0.4426,-0.1959,5,0,-2.44,-3.23
wi_models,noise,rescore-beam,cer,-0.1405,0.1068,-0.2473,-0.0337,5,0,-2.06,-4.83
wi_models,noise,rescore-beam,wer,-0.8368,0.3160,-1.1527,-0.5208,5,0,-6.39,-8.54
wi_models,noise,rescore-greedy,cer,-0.1930,0.1176,-0.3106,-0.0753,5,0,-2.81,-5.05
wi_models,noise,rescore-greedy,wer,-0.9197,0.4253,-1.3450,-0.4944,5,0,-6.98,-8.34
wi_models,noise,rescore-lenorm04,cer,-0.1016,0.0566,-0.1582,-0.0450,5,0,-1.50,-3.60
wi_models,noise,rescore-lenorm04,wer,-0.6769,0.2385,-0.9154,-0.4384,5,0,-5.23,-6.88
wi_models,noise,fusion-lenorm04,cer,-0.0091,0.0630,-0.0721,0.0539,3,2,-0.13,-0.25
wi_models,noise,fusion-lenorm04,wer,-0.1594,0.0854,-0.2448,-0.0740,5,0,-1.23,-1.41
wi_models,hybrid,beam-greedy,cer,-0.1475,0.2203,-0.3678,0.0728,5,0,-2.16,-2.79
wi_models,hybrid,beam-greedy,wer,-0.1307,0.1702,-0.3009,0.0395,5,0,-1.29,-1.47
wi_models,hybrid,fusion-beam,cer,-0.0005,0.0439,-0.0444,0.0434,2,3,-0.01,0.30
wi_models,hybrid,fusion-beam,wer,-0.0362,0.0886,-0.1248,0.0524,3,2,-0.36,0.02
wi_models,hybrid,rescore-beam,cer,-0.0300,0.0724,-0.1024,0.0424,3,2,-0.45,-0.50
wi_models,hybrid,rescore-beam,wer,-0.0800,0.0744,-0.1543,-0.0056,4,0,-0.80,-0.88
wi_models,hybrid,rescore-greedy,cer,-0.1775,0.2725,-0.4500,0.0950,5,0,-2.60,-3.30
wi_models,hybrid,rescore-greedy,wer,-0.2107,0.2259,-0.4365,0.0152,5,0,-2.07,-2.33
