section,group,method,metric,fold0,fold1,fold2,fold3,fold4,mean
crossds,wi,greedy,cer,14.7384,2.3614,14.7190,1.4022,1.5164,6.9475
crossds,wi,greedy,wer,20.5971,5.3620,18.4014,3.9250,4.2626,10.5096
crossds,wi,beam,cer,14.5791,2.2931,14.2451,1.3627,1.4796,6.7919
crossds,wi,beam,wer,20.4837,5.2838,18.1022,3.8079,4.2025,10.3760
crossds,wi,fusion,cer,14.5860,2.2643,14.2885,1.3699,1.4833,6.7984
crossds,wi,fusion,wer,20.4271,5.2055,18.1449,3.8274,4.1825,10.3575
crossds,wi,rescore,cer,14.5929,2.2715,14.2293,1.3627,1.4869,6.7887
crossds,wi,rescore,wer,20.3326,5.2642,18.1022,3.8079,4.1825,10.3379
crossds,wd,greedy,cer,16.8928,10.9191,11.3410,16.1812,26.2928,16.3254
crossds,wd,greedy,wer,30.5997,26.0964,23.0449,32.7118,47.1522,31.9210
crossds,wd,beam,cer,16.4931,11.1410,11.3797,16.1285,25.8057,16.1896
crossds,wd,beam,wer,30.3813,26.1957,22.9258,32.4539,46.8942,31.7702
crossds,wd,fusion,cer,16.8121,11.4570,11.8759,16.6187,26.3902,16.6308
crossds,wd,fusion,wer,30.8975,26.6720,23.7396,33.2870,47.8269,32.4846
crossds,wd,rescore,cer,17.4291,13.3564,14.1736,17.6235,27.7386,18.0642
crossds,wd,rescore,wer,31.7315,28.5573,26.3200,34.4376,49.3749,34.0842
crossds,privword,greedy,cer,9.2895,9.9663,10.1016,10.4884,9.9635,9.9619
crossds,privword,greedy,wer,18.2510,19.7721,19.1734,18.9648,19.3027,19.0928
crossds,privword,beam,cer,8.2455,8.7727,9.4207,9.7150,8.7980,8.9904
crossds,privword,beam,wer,16.4343,17.8928,17.9165,17.4399,17.7073,17.4782
crossds,privword,fusion,cer,8.2229,8.7229,9.3846,9.7085,8.7532,8.9584
crossds,privword,fusion,wer,16.1386,17.5930,17.7461,17.1177,17.2149,17.1620
crossds,privword,rescore,cer,8.2197,8.6730,9.7003,9.7215,8.8817,9.0393
crossds,privword,rescore,wer,15.5471,16.7733,17.5543,16.7311,16.8604,16.6932
crossds,privsent,greedy,cer,8.6641,9.0362,9.7248,7.5356,11.6875,9.3296
crossds,privsent,greedy,wer,14.1189,14.6417,15.1969,13.0835,18.1480,15.0378
crossds,privsent,beam,cer,7.0298,6.8889,7.4403,6.2609,9.6476,7.4535
crossds,privsent,beam,wer,11.0551,10.8393,11.5051,10.5972,14.7732,11.7540
crossds,privsent,fusion,cer,7.0372,6.8831,7.5115,6.2220,9.6811,7.4670
crossds,privsent,fusion,wer,10.9111,10.7110,11.6202,10.3712,14.6465,11.6520
crossds,privsent,rescore,cer,7.9099,7.9898,8.0244,6.6147,10.1794,8.1437
crossds,privsent,rescore,wer,11.7911,11.7739,11.8582,10.5625,14.8849,12.1741
wi_models,plain,beam,cer,14.5791,2.2931,14.2451,1.3627,1.4796,6.7919
wi_models,plain,beam,wer,20.4837,5.2838,18.1022,3.8079,4.2025,10.3760
wi_models,plain,fusion,cer,14.5860,2.2643,14.2885,1.3699,1.4833,6.7984
wi_models,plain,fusion,wer,20.4271,5.2055,18.1449,3.8274,4.1825,10.3575
wi_models,plain,greedy,cer,14.7384,2.3614,14.7190,1.4022,1.5164,6.9475
wi_models,plain,greedy,wer,20.5971,5.3620,18.4014,3.9250,4.2626,10.5096
wi_models,plain,rescore,cer,14.5929,2.2715,14.2293,1.3627,1.4869,6.7887
wi_models,plain,rescore,wer,20.3326,5.2642,18.1022,3.8079,4.1825,10.3379
wi_models,noise,beam,cer,13.9073,2.8178,14.0950,1.5492,1.6710,6.8081
wi_models,noise,beam,wer,23.6584,8.1996,21.2011,6.2097,6.2037,13.0945
wi_models,noise,fusion,cer,13.8172,2.7891,14.0674,1.4667,1.6599,6.7601
wi_models,noise,fusion,wer,23.2237,7.8865,20.9233,5.8192,6.0236,12.7753
wi_models,noise,greedy,cer,13.8899,2.8717,14.3636,1.4883,1.6894,6.8606
wi_models,noise,greedy,wer,23.7528,8.3562,21.7568,5.8778,6.1437,13.1774
wi_models,noise,lenorm04,cer,13.7722,2.7639,14.1543,1.4883,1.6673,6.7692
wi_models,noise,lenorm04,wer,23.4505,8.0235,21.1584,5.8973,6.1437,12.9347
wi_models,noise,rescore,cer,13.6649,2.7100,14.0279,1.3269,1.6084,6.6676
wi_models,noise,rescore,wer,22.5246,7.5734,20.4317,5.1357,5.6234,12.2578
wi_models,hybrid,beam,cer,14.1289,2.2967,14.4978,1.1978,1.3176,6.6878
wi_models,hybrid,beam,wer,19.5956,5.3620,18.1022,3.3782,3.6822,10.0241
wi_models,hybrid,fusion,cer,14.0977,2.2535,14.5255,1.2049,1.3544,6.6872
wi_models,hybrid,fusion,wer,19.5011,5.3033,17.9953,3.4173,3.7222,9.9879
wi_models,hybrid,greedy,cer,14.2813,2.3038,14.9481,1.2444,1.3986,6.8352
wi_models,hybrid,greedy,wer,19.7090,5.3816,18.4655,3.4954,3.7222,10.1547
wi_models,hybrid,rescore,cer,14.1393,2.2392,14.3833,1.1763,1.3508,6.6578
wi_models,hybrid,rescore,wer,19.4822,5.2642,17.9526,3.3392,3.6822,9.9441
