dataset,method,fold,runtime_per_sample_ms,abs_cer_delta_vs_canonical,n_samples
wi,greedy,0,20.1457,0.000450,5292
wi,greedy,1,20.0351,0.000000,5110
wi,greedy,2,20.1431,0.000000,4679
wi,greedy,3,24.3416,0.000000,5121
wi,greedy,4,20.4555,0.000000,4997
wi,beam,0,70.5262,0.000000,5292
wi,beam,1,72.2102,0.000252,5110
wi,beam,2,70.8830,0.000276,4679
wi,beam,3,86.9793,0.000000,5121
wi,beam,4,74.1724,0.000000,4997
wi,fusion,0,69.9568,0.000000,5292
wi,fusion,1,67.2900,0.000000,5110
wi,fusion,2,70.0395,0.000000,4679
wi,fusion,3,87.3908,0.000000,5121
wi,fusion,4,72.2509,0.000000,4997
wi,rescore,0,72.1288,0.000000,5292
wi,rescore,1,71.7142,0.000000,5110
wi,rescore,2,74.6018,0.000000,4679
wi,rescore,3,87.2403,0.000000,5121
wi,rescore,4,75.9479,0.000000,4997
wd,greedy,0,20.4605,0.000000,5036
wd,greedy,1,21.0354,0.000000,5039
wd,greedy,2,20.1639,0.000070,5038
wd,greedy,3,22.4358,0.000000,5041
wd,greedy,4,19.5575,0.000039,5039
wd,beam,0,73.5859,0.000035,5036
wd,beam,1,74.0643,0.000000,5039
wd,beam,2,70.6152,0.000035,5038
wd,beam,3,76.2727,0.000000,5041
wd,beam,4,68.8990,0.000039,5039
wd,fusion,0,72.4800,0.000035,5036
wd,fusion,1,73.6973,0.000034,5039
wd,fusion,2,70.3296,0.000035,5038
wd,fusion,3,74.6408,0.000000,5041
wd,fusion,4,69.3990,0.000039,5039
wd,rescore,0,73.5595,0.000000,5036
wd,rescore,1,74.3952,0.000000,5039
wd,rescore,2,71.5875,0.000000,5038
wd,rescore,3,75.1652,0.000000,5041
wd,rescore,4,69.1568,0.000000,5039
privword,greedy,0,23.7026,0.000000,4734
privword,greedy,1,22.7724,0.000000,5002
privword,greedy,2,22.8075,0.000000,4694
privword,greedy,3,29.0632,0.000000,4656
privword,greedy,4,23.8765,0.000000,5077
privword,beam,0,85.1411,0.000000,4734
privword,beam,1,81.2545,0.000000,5002
privword,beam,2,82.2996,0.000000,4694
privword,beam,3,87.5782,0.000000,4656
privword,beam,4,86.9192,0.000000,5077
privword,fusion,0,82.4310,0.000000,4734
privword,fusion,1,82.2037,0.000000,5002
privword,fusion,2,82.3696,0.000000,4694
privword,fusion,3,99.1538,0.000000,4656
privword,fusion,4,87.6011,0.000000,5077
privword,rescore,0,82.4498,0.000000,4734
privword,rescore,1,82.8278,0.000000,5002
privword,rescore,2,82.4132,0.000000,4694
privword,rescore,3,96.6695,0.000000,4656
privword,rescore,4,87.9940,0.000060,5077
privsent,greedy,0,62.8347,0.000000,4188
privsent,greedy,1,63.2448,0.000000,3684
privsent,greedy,2,61.1008,0.000000,4416
privsent,greedy,3,76.5704,0.000000,3871
privsent,greedy,4,62.5526,0.000000,4480
privsent,beam,0,242.1484,0.000000,4188
privsent,beam,1,234.5326,0.000000,3684
privsent,beam,2,233.3904,0.000000,4416
privsent,beam,3,275.4499,0.000000,3871
privsent,beam,4,242.3786,0.000000,4480
privsent,fusion,0,241.7653,0.000000,4188
privsent,fusion,1,232.2633,0.000000,3684
privsent,fusion,2,228.4898,0.000000,4416
privsent,fusion,3,271.9251,0.000000,3871
privsent,fusion,4,243.5201,0.000000,4480
privsent,rescore,0,243.9489,0.000000,4188
privsent,rescore,1,233.1984,0.000000,3684
privsent,rescore,2,233.0013,0.000181,4416
privsent,rescore,3,282.4505,0.000000,3871
privsent,rescore,4,243.1090,0.000012,4480

dataset,method,mean_runtime_per_sample_ms
wi,greedy,21.0
wi,beam,75.0
wi,fusion,73.4
wi,rescore,76.3
wd,greedy,20.7
wd,beam,72.7
wd,fusion,72.1
wd,rescore,72.8
privword,greedy,24.4
privword,beam,84.6
privword,fusion,86.8
privword,rescore,86.5
privsent,greedy,65.3
privsent,beam,245.6
privsent,fusion,243.6
privsent,rescore,247.1
